Survived,Pclass,Sex,Age,Fare,Embarked
0,3,male,22,7.25,S
1,1,female,38,71.2833,C
1,3,female,26,7.925,S
1,1,female,35,53.1,S
0,3,male,35,8.05,S
0,3,male,,8.4583,Q
0,1,male,54,51.8625,S
0,3,male,2,21.075,S
1,3,female,27,11.1333,S
1,2,female,14,30.0708,C
1,3,female,4,16.7,S
1,1,female,58,26.55,S
0,3,male,20,8.05,S
0,3,male,39,31.275,S
0,3,female,14,7.8542,S
1,2,female,55,16,S
0,3,male,2,29.125,Q
1,2,male,,13,S
0,3,female,31,18,S
1,3,female,,7.225,C
0,2,male,35,26,S
1,2,male,34,13,S
1,3,female,15,8.0292,Q
1,1,male,28,35.5,S
0,3,female,8,21.075,S
1,3,female,38,31.3875,S
0,3,male,,7.225,C
0,1,male,19,263,S
1,3,female,,7.8792,Q
0,3,male,,7.8958,S
0,1,male,40,27.7208,C
1,1,female,,146.5208,C
1,3,female,,7.75,Q
0,2,male,66,10.5,S
0,1,male,28,82.1708,C
0,1,male,42,52,S
1,3,male,,7.2292,C
0,3,male,21,8.05,S
0,3,female,18,18,S
1,3,female,14,11.2417,C
0,3,female,40,9.475,S
0,2,female,27,21,S
0,3,male,,7.8958,C
1,2,female,3,41.5792,C
1,3,female,19,7.8792,Q
0,3,male,,8.05,S
0,3,male,,15.5,Q
1,3,female,,7.75,Q
0,3,male,,21.6792,C
0,3,female,18,17.8,S
0,3,male,7,39.6875,S
0,3,male,21,7.8,S
1,1,female,49,76.7292,C
1,2,female,29,26,S
0,1,male,65,61.9792,C
1,1,male,,35.5,S
1,2,female,21,10.5,S
0,3,male,28.5,7.2292,C
1,2,female,5,27.75,S
0,3,male,11,46.9,S
0,3,male,22,7.2292,C
1,1,female,38,80,
0,1,male,45,83.475,S
0,3,male,4,27.9,S
0,1,male,,27.7208,C
1,3,male,,15.2458,C
1,2,female,29,10.5,S
0,3,male,19,8.1583,S
1,3,female,17,7.925,S
0,3,male,26,8.6625,S
0,2,male,32,10.5,S
0,3,female,16,46.9,S
0,2,male,21,73.5,S
0,3,male,26,14.4542,C
1,3,male,32,56.4958,S
0,3,male,25,7.65,S
0,3,male,,7.8958,S
0,3,male,,8.05,S
1,2,male,0.83,29,S
1,3,female,30,12.475,S
0,3,male,22,9,S
1,3,male,29,9.5,S
1,3,female,,7.7875,Q
0,1,male,28,47.1,S
1,2,female,17,10.5,S
1,3,female,33,15.85,S
0,3,male,16,34.375,S
0,3,male,,8.05,S
1,1,female,23,263,S
0,3,male,24,8.05,S
0,3,male,29,8.05,S
0,3,male,20,7.8542,S
0,1,male,46,61.175,S
0,3,male,26,20.575,S
0,3,male,59,7.25,S
0,3,male,,8.05,S
0,1,male,71,34.6542,C
1,1,male,23,63.3583,C
1,2,female,34,23,S
0,2,male,34,26,S
0,3,female,28,7.8958,S
0,3,male,,7.8958,S
0,1,male,21,77.2875,S
0,3,male,33,8.6542,S
0,3,male,37,7.925,S
0,3,male,28,7.8958,S
1,3,female,21,7.65,S
1,3,male,,7.775,S
0,3,male,38,7.8958,S
1,3,female,,24.15,Q
0,1,male,47,52,S
0,3,female,14.5,14.4542,C
0,3,male,22,8.05,S
0,3,female,20,9.825,S
0,3,female,17,14.4583,C
0,3,male,21,7.925,S
0,3,male,70.5,7.75,Q
0,2,male,29,21,S
0,1,male,24,247.5208,C
0,3,female,2,31.275,S
0,2,male,21,73.5,S
0,3,male,,8.05,S
0,2,male,32.5,30.0708,C
1,2,female,32.5,13,S
0,1,male,54,77.2875,S
1,3,male,12,11.2417,C
0,3,male,,7.75,Q
1,3,male,24,7.1417,S
1,3,female,,22.3583,C
0,3,male,45,6.975,S
0,3,male,33,7.8958,C
0,3,male,20,7.05,S
0,3,female,47,14.5,S
1,2,female,29,26,S
0,2,male,25,13,S
0,2,male,23,15.0458,C
1,1,female,19,26.2833,S
0,1,male,37,53.1,S
0,3,male,16,9.2167,S
0,1,male,24,79.2,C
0,3,female,,15.2458,C
1,3,female,22,7.75,S
1,3,female,24,15.85,S
0,3,male,19,6.75,Q
0,2,male,18,11.5,S
0,2,male,19,36.75,S
1,3,male,27,7.7958,S
0,3,female,9,34.375,S
0,2,male,36.5,26,S
0,2,male,42,13,S
0,2,male,51,12.525,S
1,1,female,22,66.6,S
0,3,male,55.5,8.05,S
0,3,male,40.5,14.5,S
0,3,male,,7.3125,S
0,1,male,51,61.3792,C
1,3,female,16,7.7333,Q
0,3,male,30,8.05,S
0,3,male,,8.6625,S
0,3,male,,69.55,S
0,3,male,44,16.1,S
1,2,female,40,15.75,S
0,3,male,26,7.775,S
0,3,male,17,8.6625,S
0,3,male,1,39.6875,S
1,3,male,9,20.525,S
1,1,female,,55,S
0,3,female,45,27.9,S
0,1,male,,25.925,S
0,3,male,28,56.4958,S
0,1,male,61,33.5,S
0,3,male,4,29.125,Q
1,3,female,1,11.1333,S
0,3,male,21,7.925,S
0,1,male,56,30.6958,C
0,3,male,18,7.8542,S
0,3,male,,25.4667,S
0,1,female,50,28.7125,C
0,2,male,30,13,S
0,3,male,36,0,S
0,3,female,,69.55,S
0,2,male,,15.05,C
0,3,male,9,31.3875,S
1,2,male,1,39,S
1,3,female,4,22.025,S
0,1,male,,50,S
1,3,female,,15.5,Q
1,1,male,45,26.55,S
0,3,male,40,15.5,Q
0,3,male,36,7.8958,S
1,2,female,32,13,S
0,2,male,19,13,S
1,3,female,19,7.8542,S
1,2,male,3,26,S
1,1,female,44,27.7208,C
1,1,female,58,146.5208,C
0,3,male,,7.75,Q
0,3,male,42,8.4042,S
1,3,female,,7.75,Q
0,2,female,24,13,S
0,3,male,28,9.5,S
0,3,male,,69.55,S
0,3,male,34,6.4958,S
0,3,male,45.5,7.225,C
1,3,male,18,8.05,S
0,3,female,2,10.4625,S
0,3,male,32,15.85,S
1,3,male,26,18.7875,C
1,3,female,16,7.75,Q
1,1,male,40,31,C
0,3,male,24,7.05,S
1,2,female,35,21,S
0,3,male,22,7.25,S
0,2,male,30,13,S
0,3,male,,7.75,Q
1,1,female,31,113.275,C
1,3,female,27,7.925,S
0,2,male,42,27,S
1,1,female,32,76.2917,C
0,2,male,30,10.5,S
1,3,male,16,8.05,S
0,2,male,27,13,S
0,3,male,51,8.05,S
0,3,male,,7.8958,S
1,1,male,38,90,S
0,3,male,22,9.35,S
1,2,male,19,10.5,S
0,3,male,20.5,7.25,S
0,2,male,18,13,S
0,3,female,,25.4667,S
1,1,female,35,83.475,S
0,3,male,29,7.775,S
0,2,male,59,13.5,S
1,3,female,5,31.3875,S
0,2,male,24,10.5,S
0,3,female,,7.55,S
0,2,male,44,26,S
1,2,female,8,26.25,S
0,2,male,19,10.5,S
0,2,male,33,12.275,S
0,3,female,,14.4542,C
1,3,female,,15.5,Q
0,2,male,29,10.5,S
0,3,male,22,7.125,S
0,3,male,30,7.225,C
0,1,male,44,90,Q
0,3,female,25,7.775,S
1,2,female,24,14.5,S
1,1,male,37,52.5542,S
0,2,male,54,26,S
0,3,male,,7.25,S
0,3,female,29,10.4625,S
0,1,male,62,26.55,S
0,3,male,30,16.1,S
0,3,female,41,20.2125,S
1,3,female,29,15.2458,C
1,1,female,,79.2,C
1,1,female,30,86.5,S
1,1,female,35,512.3292,C
1,2,female,50,26,S
0,3,male,,7.75,Q
1,3,male,3,31.3875,S
0,1,male,52,79.65,S
0,1,male,40,0,S
0,3,female,,7.75,Q
0,2,male,36,10.5,S
0,3,male,16,39.6875,S
1,3,male,25,7.775,S
1,1,female,58,153.4625,S
1,1,female,35,135.6333,S
0,1,male,,31,S
1,3,male,25,0,S
1,2,female,41,19.5,S
0,1,male,37,29.7,C
1,3,female,,7.75,Q
1,1,female,63,77.9583,S
0,3,female,45,7.75,S
0,2,male,,0,S
0,3,male,7,29.125,Q
1,3,female,35,20.25,S
0,3,male,65,7.75,Q
0,3,male,28,7.8542,S
0,3,male,16,9.5,S
1,3,male,19,8.05,S
0,1,male,,26,S
0,3,male,33,8.6625,C
1,3,male,30,9.5,S
0,3,male,22,7.8958,S
1,2,male,42,13,S
